Spelling,FreqCount,LogFreq(Zipf),V
keep,106457,5.72,iː
top,88872,5.64,ɒ
cup,24989,5.09,ʌ
shop,22769,5.05,ɒ
deep,19045,4.98,iː
pop,17959,4.95,ɒ
ship,11760,4.77,ɪ
sheep,9350,4.67,iː
gap,7668,4.58,æ
sharp,7214,4.55,ɑː
tip,7173,4.55,ɪ
map,6598,4.52,æ
cap,5302,4.42,æ
soup,5237,4.41,uː
tap,4302,4.33,æ
chop,3986,4.3,ɒ
chap,3903,4.29,æ
chip,3656,4.26,ɪ
lap,3374,4.22,æ
dip,3362,4.22,ɪ
rip,3070,4.18,ɪ
leap,2625,4.12,iː
beep,2491,4.09,iː
whip,2437,4.08,ɪ
pip,2019,4,ɪ
lip,1623,3.91,ɪ
pup,1108,3.74,ʌ
kip,1097,3.74,ɪ
nip,1096,3.74,ɪ
zip,878,3.64,ɪ
mop,584,3.46,ɒ
rep,546,3.43,e
sap,509,3.4,æ
weep,503,3.4,iː
sip,432,3.33,ɪ
burp,412,3.31,ɜː
reap,344,3.23,iː
poop,325,3.21,uː
warp,313,3.19,ɔː
jeep,295,3.17,iː
pep,294,3.17,e
zap,194,2.99,æ
pap,116,2.76,æ
lop,92,2.66,ɒ
chirp,83,2.62,ɜː
sop,70,2.55,ɒ
gawp,48,2.39,ɔː
fop,22,2.06,ɒ
thorp,22,2.06,ɔː
neap,18,1.97,iː
thorpe,356,3.25,ɔː
corp,332,3.22,ɔː
tup,71,2.55,ʌ
dep,38,2.29,e
jupe,16,1.93,uː
knop,11,1.77,ɒ
repp,2,1.17,e
